,Sl.No,Lane,VehicleType,Entry,Exit,TravelTime,Speed(kmph),Time Interval,CumulativeEntryFlow,CumulativeExitFlow,EntryFlow/Interval,ExitFlow/Interval,Travel Time in one minute,Travel Time in one minute(interval wise),Avg Travel Time in one minute,SMS,Exit Flow Per Hour,Small Car,Big Car,Two Wheeler,LCV,Bus,Single Axle,Multi Axle,Small Car interval wise,Big Car interval wise,Two Wheeler interval wise,LCV interval wise,Bus interval wise,Single Axle interval wise,Multi Axle interval wise,Cumulative Speed of Small Car,Cumulative Speed of Big Car,Cumulative Speed of Two Wheeler,Cumulative Speed of LCV,Cumulative Speed of Bus,Cumulative Speed of Single Axle,Cumulative Speed of Multi Axle,Cumulative Speed of Small Car interval wise,Cumulative Speed of Big Car interval wise,Cumulative Speed of Two Wheeler interval wise,Cumulative Speed of LCV interval wise,Cumulative Speed of Bus interval wise,Cumulative Speed of Single Axle interval wise,Cumulative Speed of Multi Axle interval wise,Avg Speed of Small Car,Avg Speed of Big Car,Avg Speed of Two Wheeler,Avg Speed of LCV,Avg Speed of Bus,Avg Speed of Single Axle,Avg Speed of Multi Axle,Small Car PCU,Big Car PCU,Two Wheeler PCU,LCV PCU,Bus PCU,Single Axle PCU,Multi Axle PCU,Final PCU per 5min
20,21,1,1,129.43,135.5,6.069999999999993,36.77100494233942,6300,938,936,47.0,46.0,5362.523000000006,255.01999999999862,5.543913043478231,40.26037173555037,2760.0,174,306,344,24,30,37,21,11.0,18.0,16.0,0.0,0.0,1.0,0.0,7901.053119614839,14206.645468164501,15634.225213884372,898.8244061782473,618.3265755251231,1134.6772264639326,492.47115424952256,486.07256863983093,785.0557650064384,632.5337151057702,0.0,0.0,24.994400895855733,0.0,44.18841533089372,43.614209167024356,39.533357194110636,0.0,0.0,24.994400895855733,0.0,1.0,1.5329800032357646,0.25024256748166424,0.0,0.0,5.815046856772345,0.0,48.41256799472274
21,22,1,5,133.27,144.9,11.629999999999995,19.19174548581256,6600,973,973,35.0,37.0,5564.323000000008,201.800000000002,5.454054054054108,40.9236868186319,2220.0,183,320,356,24,31,37,22,9.0,14.0,12.0,0.0,1.0,0.0,1.0,8285.581077584056,14868.223265801544,16158.537647540325,898.8244061782473,642.1982332791329,1134.6772264639326,512.57926235763,384.5279579692178,661.5777976370427,524.3124336559522,0.0,23.87165775400979,0.0,20.108108108107444,42.72532866324642,47.25555697407448,43.69270280466268,0.0,23.87165775400979,0.0,20.108108108107444,1.0,1.3680078528933324,0.21892378989577502,0.0,8.194313994922565,0.0,6.988785693589309,45.96229510776783
22,23,1,3,134.47,139.37,4.900000000000006,45.55102040816321,6900,1028,1028,55.0,55.0,5868.7930000000115,304.4700000000039,5.535818181818253,40.31924327519901,3300.0,191,336,383,24,32,40,22,8.0,16.0,27.0,0.0,1.0,3.0,0.0,8623.196938230869,15565.411106191126,17337.163755311012,898.8244061782473,658.14109042199,1244.9117329020771,512.57926235763,337.6158606468125,697.1878403895826,1178.6261077706877,0.0,15.942857142857179,110.23450643814454,0.0,42.20198258085156,43.57424002434891,43.65281880632177,0.0,15.942857142857179,36.744835479381514,0.0,1.0,1.4654098185188171,0.21643974693442355,0.0,12.119270194288411,3.777670452500868,0.0,60.74271181532153
23,24,1,2,146.67,153.13,6.460000000000008,34.55108359133123,7200,1087,1086,59.0,58.0,6219.473000000007,350.67999999999574,6.0462068965516504,36.91570662712489,3480.0,200,364,400,25,34,41,22,9.0,28.0,17.0,1.0,2.0,1.0,0.0,8934.449373637235,16775.875086818378,18004.454784896618,931.696276575891,697.1455245152406,1289.5517329020772,512.57926235763,311.2524354063662,1210.4639806272517,667.2910295856054,32.87187039764376,39.00443409325055,44.6400000000001,0.0,34.58360393404069,43.23085645097327,39.25241350503561,32.87187039764376,19.502217046625276,44.6400000000001,0.0,1.0,1.210409918765273,0.19725151154558862,2.514375712016572,8.118878309482783,2.5482004349770633,0.0,67.54508618766185
24,25,1,3,151.07,156.0,4.930000000000007,45.27383367139953,7500,1146,1146,59.0,60.0,6579.133000000006,359.65999999999894,5.994333333333316,37.23516654618261,3600.0,230,372,416,27,34,44,23,30.0,8.0,16.0,2.0,0.0,3.0,1.0,10155.006003424474,17102.98546198256,18566.044936566777,997.7687936541862,697.1455245152406,1398.6552372010156,555.5023392807009,1220.5566297872392,327.1103751641822,561.5901516701597,66.07251707829516,0.0,109.10350429893833,42.92307692307088,40.68522099290797,40.88879689552277,35.09938447938498,33.03625853914758,0.0,36.367834766312775,42.92307692307088,1.0,1.5055265257126658,0.2595097236228233,2.943270402346146,0.0,3.679652077469403,3.1176930533374425,66.23955787410445
25,26,1,3,151.6,157.4,5.800000000000011,38.48275862068958,7800,1202,1201,56.0,55.0,6894.813000000006,315.6799999999994,5.739636363636352,38.887480993411124,3300.0,255,384,432,28,35,44,23,25.0,12.0,16.0,1.0,1.0,0.0,0.0,11210.475058932974,17609.272965951386,19156.430339563776,1034.9687936541861,761.2834555497146,1398.6552372010156,555.5023392807009,1055.4690555084999,506.28750396882606,590.3854029969989,37.19999999999993,64.13793103447404,0.0,0.0,42.21876222034,42.19062533073551,36.89908768731243,37.19999999999993,64.13793103447404,0.0,0.0,1.0,1.514068759629319,0.25615705654345766,2.7123572863633263,3.0137020865161337,0.0,0.0,52.993397393126614
26,27,1,2,153.4,159.23,5.829999999999984,38.28473413379084,8100,1255,1253,53.0,52.0,7224.793000000004,329.97999999999865,6.345769230769205,35.17304079035107,3120.0,284,391,444,30,36,44,24,29.0,7.0,12.0,2.0,1.0,0.0,1.0,12381.682374827073,17878.838111343055,19564.344210703362,1117.3125436541857,780.1987097870025,1398.6552372010156,578.9477174319626,1171.2073158940984,269.5651453916689,407.91387113958626,82.34374999999955,18.915254237287854,0.0,23.445378151261707,40.386459168762016,38.50930648452413,33.992822594965524,41.17187499999977,18.915254237287854,0.0,23.445378151261707,1.0,1.5868144464971063,0.26598981490170415,2.3443339293748076,9.77537359775127,0.0,5.6658628726183125,63.42948323341939
27,28,1,1,154.27,162.83,8.560000000000002,26.074766355140177,8400,1299,1299,44.0,46.0,7539.673000000004,314.8800000000001,6.845217391304351,32.60670731707316,2760.0,298,399,466,30,38,44,24,14.0,8.0,22.0,0.0,2.0,0.0,0.0,12887.329240464369,18128.224454414085,20397.923533518457,1117.3125436541857,817.2147295698217,1398.6552372010156,578.9477174319626,505.6468656372963,249.38634307102984,833.5793228150942,0.0,37.01601978281917,0.0,0.0,36.11763325980688,31.17329288387873,37.88996921886792,0.0,18.508009891409586,0.0,0.0,1.0,1.7530434016793144,0.21340838917718405,0.0,8.934481000024855,0.0,0.0,50.58829377538227
28,29,1,2,175.33,183.0,7.6699999999999875,29.100391134289485,8700,1348,1348,49.0,49.0,7905.433000000012,365.7600000000075,7.46448979591852,29.901574803148993,2940.0,313,404,486,33,40,45,27,15.0,5.0,20.0,3.0,2.0,1.0,3.0,13363.629848248765,18323.86813816823,21027.125660851114,1244.4509734062583,860.1784822350684,1430.724202718261,653.0097631731612,476.30060778439656,195.64368375414415,629.2021273326573,127.13842975207262,42.963752665246716,32.06896551724549,74.06204574119863,31.753373852293105,39.12873675082883,31.460106366632864,42.37947658402421,21.481876332623358,32.06896551724549,24.687348580399544,1.0,1.2278635691277164,0.2259675861372609,1.7906826598425474,6.767487047576573,3.256810192878313,4.2306095946873015,60.514330620004806
29,30,1,3,177.77,184.0,6.22999999999999,35.82664526484757,9000,1389,1389,41.0,41.0,8203.083000000013,297.65000000000146,7.259756097561011,30.74483453720798,2460.0,326,410,500,37,43,46,27,13.0,6.0,14.0,4.0,3.0,1.0,0.0,13843.67895859359,18530.1101814947,21444.955928819112,1389.4162450977733,937.3015000040446,1446.781756675094,653.0097631731612,480.04911034482393,206.2420433264706,417.8302679679982,144.965271691515,77.12301776897618,16.057553956832862,0.0,36.926854641909536,34.3736738877451,29.845019140571303,36.24131792287875,25.707672589658728,16.057553956832862,0.0,1.0,1.625445561740365,0.2770045555734169,2.435132934363569,6.576416728937621,7.5639813516284224,0.0,63.664500424365585
