Sl.No,Lane,VehicleType,Entry,Exit
2866,1,3,16254.44,16260.24
2867,1,1,16255.48,16262.44
2868,1,1,16260.28,16267.4
2869,2,3,16273.6,16278.52
2870,2,3,16274.8,16279.48
2871,1,3,16279.48,16287.2
2872,2,3,16295.04,16302.12
2873,2,1,16297.36,16304.4
2874,1,3,16303.92,16308.4
2875,1,3,16305.84,16311.32
2876,1,1,16308.72,16318
2877,1,3,16321.52,16327.6
2878,1,3,16327.04,16331.16
2879,1,3,16328,16331.88
2880,1,3,16329.92,16333.2
2881,1,3,16331.84,16335.72
2882,1,5,16336.68,16344.4
2883,1,3,16340.12,16345.08
2884,2,3,16341,16345.32
2885,1,3,16341.52,16346.32
2886,1,3,16385.64,16394.28
2887,1,3,16391.4,16396.2
2888,2,3,16398.84,16407.76
2889,2,1,16398.88,16403.48
2890,1,1,16404.6,16409.92
2891,2,1,16408.24,16412.52
2892,1,1,16413.44,16417.24
2893,1,4,16418.28,16424.08
2894,1,4,16421.04,16425.96
2895,1,1,16425,16429.84
2896,1,1,16425.96,16431.44
2897,1,1,16429.32,16435.04
2898,1,1,16430.76,16436.52
2899,1,4,16433.64,16438.04
2900,2,1,16434.56,16438.24
2901,2,2,16443.52,16449
2902,1,2,16449.96,16456.68
2903,1,1,16450.4,16453.84
2904,1,2,16457.76,16466.52
2905,2,1,16463.36,16466.56
2906,2,2,16466.56,16470.12
2907,1,2,16473,16481.28
2908,1,1,16475.84,16480.96
2909,1,1,16484.28,16488.16
2910,1,1,16491.24,16496.08
2911,1,2,16495.36,16498.6
2912,1,3,16503.72,16508.72
2913,1,3,16507.68,16513.32
2914,1,3,16515.16,16524.48
2915,1,2,16530.6,16533.8
2916,1,3,16531.56,16539
2917,1,3,16533.48,16540.16
2918,1,2,16536.36,16543.08
2919,1,4,16536.36,16550.58
2920,1,3,16539.28,16543.08
2921,1,2,16544.04,16548
2922,1,2,16545.84,16549.56
2923,1,3,16552.68,16558.64
2924,1,2,16576.68,16580.92
2925,1,3,16577.44,16582.48
2926,2,3,16583.16,16588.16
2927,1,3,16590.12,16596.12
2928,1,2,16593,16599.76
2929,1,3,16594.92,16601.24
2930,1,2,16596.84,16602.52
2931,1,3,16604.52,16611.44
2932,1,3,16605.48,16612.24
2933,1,3,16609.32,16615.16
2934,1,6,16611.48,16617
2935,1,3,16614.96,16621.04
2936,1,2,16617.92,16623.76
2937,1,3,16621.84,16629.48
2938,1,1,16625.36,16631.72
2939,2,6,16629.16,16642.6
2940,2,1,16635.36,16647.72
2941,2,1,16638.12,16652.52
2942,1,2,16634.56,16642.04
2943,1,1,16637.16,16643.48
2944,2,2,16640.4,16652.52
2945,2,3,16644.04,16657.32
2946,2,3,16645.16,16657.32
2947,2,2,16647.48,16659.24
2948,1,3,16647.76,16651.68
